incident_id,timestamp,agent,rule,risk_score,correlation_score,incident_status,recommended_priority,correlation_type,security_alert_id,security_alert_rule_id,security_alert_status,planned_incident_status,planned_risk_score,planned_correlation_score,planned_recommended_priority,planned_correlation_type,planned_security_alert_status
4952,2026-05-25T22:31:32.741Z,atomicstar,AI SOC DNS telemetry query: _https._tcp.download.docker.com,90,90,NEW,CRITICAL,POST_COMPROMISE_ACTIVITY,326703,100510,DUPLICATE_DOC_ID,FALSE_POSITIVE,5,0,INFORMATIONAL,dns_telemetry_context,SUPPRESSED_NOISE
4953,2026-05-25T22:31:32.741Z,atomicstar,AI SOC DNS telemetry query: _https._tcp.ppa.launchpadcontent.net,95,95,NEW,CRITICAL,POST_COMPROMISE_ACTIVITY,326704,100510,DUPLICATE_DOC_ID,FALSE_POSITIVE,5,0,INFORMATIONAL,dns_telemetry_context,SUPPRESSED_NOISE
4954,2026-05-25T22:31:32.749Z,atomicstar,AI SOC DNS telemetry query: _https._tcp.apt.grafana.com,100,100,NEW,CRITICAL,POST_COMPROMISE_ACTIVITY,326705,100510,DUPLICATE_DOC_ID,FALSE_POSITIVE,5,0,INFORMATIONAL,dns_telemetry_context,SUPPRESSED_NOISE
4955,2026-05-25T22:31:32.750Z,atomicstar,AI SOC DNS telemetry query: _http._tcp.ch.archive.ubuntu.com,100,100,NEW,CRITICAL,POST_COMPROMISE_ACTIVITY,326706,100510,DUPLICATE_DOC_ID,FALSE_POSITIVE,5,0,INFORMATIONAL,dns_telemetry_context,SUPPRESSED_NOISE
4956,2026-05-25T22:31:32.750Z,atomicstar,AI SOC DNS telemetry query: _https._tcp.pkgs.k8s.io,100,100,NEW,CRITICAL,POST_COMPROMISE_ACTIVITY,326707,100510,DUPLICATE_DOC_ID,FALSE_POSITIVE,5,0,INFORMATIONAL,dns_telemetry_context,SUPPRESSED_NOISE
4957,2026-05-25T22:31:32.750Z,atomicstar,AI SOC DNS telemetry query: _https._tcp.deb.nodesource.com,100,100,NEW,CRITICAL,POST_COMPROMISE_ACTIVITY,326708,100510,DUPLICATE_DOC_ID,FALSE_POSITIVE,5,0,INFORMATIONAL,dns_telemetry_context,SUPPRESSED_NOISE
4958,2026-05-25T22:31:32.758Z,atomicstar,AI SOC DNS telemetry query: ppa.launchpadcontent.net,100,100,NEW,CRITICAL,POST_COMPROMISE_ACTIVITY,326709,100510,DUPLICATE_DOC_ID,FALSE_POSITIVE,5,0,INFORMATIONAL,dns_telemetry_context,SUPPRESSED_NOISE
4959,2026-05-25T22:31:32.758Z,atomicstar,AI SOC DNS telemetry query: _https._tcp.packages.wazuh.com,100,100,NEW,CRITICAL,POST_COMPROMISE_ACTIVITY,326711,100510,DUPLICATE_DOC_ID,FALSE_POSITIVE,5,0,INFORMATIONAL,dns_telemetry_context,SUPPRESSED_NOISE
4960,2026-05-25T22:31:32.758Z,atomicstar,AI SOC DNS telemetry query: _http._tcp.security.ubuntu.com,100,100,NEW,CRITICAL,POST_COMPROMISE_ACTIVITY,326712,100510,DUPLICATE_DOC_ID,FALSE_POSITIVE,5,0,INFORMATIONAL,dns_telemetry_context,SUPPRESSED_NOISE
4961,2026-05-25T22:31:32.765Z,atomicstar,AI SOC DNS telemetry query: apt.grafana.com,100,100,NEW,CRITICAL,POST_COMPROMISE_ACTIVITY,326713,100510,DUPLICATE_DOC_ID,FALSE_POSITIVE,5,0,INFORMATIONAL,dns_telemetry_context,SUPPRESSED_NOISE
